DEPARTAMENTO,Municipio ,ID Estación,Estación,LONGITUD,LATITUD,Elevación,AÑO,EST,ENT,ENERO,FEBRERO,MARZO,ABRIL,MAYO,JUNIO,JULIO,AGOST,SEPTI,OCTUB,NOVIE,DICIE,VR ANUAL
BOYACA,Puerto Boyaca,23110030,PTO NINO,-74.349999999999994,5.5599999999999996,150,2007,1,1,69.8,.0,181.9,315.1,253.6,35.8,208.6,177.5,254.9,265.0,145.2,111.6,2019.0
BOYACA,Puerto Boyaca,23110030,PTO NINO,-74.349999999999994,5.5599999999999996,150,2008,1,1,24.1,136.5,242.3,447.9,238.2,107.8,374.5,442.2,149.8,358.5,186.8,148.4,2857.0
BOYACA,Puerto Boyaca,23110030,PTO NINO,-74.349999999999994,5.5599999999999996,150,2009,1,1,78.6,173.9,258.8,124.7,273.5,179.2,69.8,321.3,224.6,308.4,202.4,67.5,2282.7
BOYACA,Puerto Boyaca,23110030,PTO NINO,-74.349999999999994,5.5599999999999996,150,2010,1,1,.1,25.1,94.4,452.5,246.3,144.1,278.9,282.5,399.8,145.1,230.2,123.9,2422.9
BOYACá,Puerto Boyaca,23110030,PTO NINO,-74.349999999999994,5.5599999999999996,150,2011,1,1,26.8,150.2,237.6,423.3,131.2,137.2,169.6,188.4,142.7,278.0,207.8,118.6,2211.4
BOYACá,Puerto Boyaca,23110030,PTO NINO,-74.349999999999994,5.5599999999999996,150,2012,1,1,144.1,30.4,290.2,203.2,302.8,74.4,117.0,162.1,173.8,227.5,71.9,45.5,1842.9
BOYACá,Puerto Boyaca,23110030,PTO NINO,-74.349999999999994,5.5599999999999996,150,2013,1,1,17.9,301.9,287.7,268.9,239.3,129.6,46.1,266.4,,,,,1557.8
BOYACá,Puerto Boyaca,23110030,PTO NINO,-74.349999999999994,5.5599999999999996,,MEDIOS,,,60.5,99.1,180.7,263.4,255.1,149.3,155.0,175.2,259.0,294.5,201.4,118.3,2211.6
BOYACá,Puerto Boyaca,23110030,PTO NINO,-74.349999999999994,5.5599999999999996,,MAXIMOS,,,257.6,301.9,339.3,452.5,428.3,403.0,374.5,442.2,589.9,534.7,540.6,328.7,589.9
BOYACá,Puerto Boyaca,23110030,PTO NINO,-74.349999999999994,5.5599999999999996,,MINIMOS,,,0.1,0.0,33.9,69.4,61.9,0.0,2.0,9.0,134.9,132.9,28.4,1.0,0.0
BOYACá,Puerto Boyaca,23110040,EL TRIQUE,-74.340000000000003,5.5199999999999996,150,1974,1,1,,,,,,,,228.0,464.0,350.0,271.0,.0,1313.0
BOYACá,Puerto Boyaca,23110040,EL TRIQUE,-74.340000000000003,5.5199999999999996,150,1975,1,1,113.0,91.0,167.0,163.0,201.0,178.0,351.0,148.0,547.0,375.0,210.0,125.7,2669.7
BOYACá,Puerto Boyaca,23110040,EL TRIQUE,-74.340000000000003,5.5199999999999996,150,1976,1,1,43.0,164.0,210.0,449.0,219.0,31.0,.0,83.0,162.0,345.0,376.0,114.0,2196.0
BOYACá,Puerto Boyaca,23110040,EL TRIQUE,-74.340000000000003,5.5199999999999996,150,1977,1,1,.0,59.0,112.0,117.0,181.0,135.0,142.0,152.0,34.0,,210.9,139.0,1553.4
BOYACá,Puerto Boyaca,23110040,EL TRIQUE,-74.340000000000003,5.5199999999999996,150,1978,1,1,62.0,48.0,121.0,408.0,251.0,66.0,135.9,140.3,237.5,283.5,264.0,140.0,2157.2
BOYACá,Puerto Boyaca,23110040,EL TRIQUE,-74.340000000000003,5.5199999999999996,150,1979,1,1,18.0,77.0,98.0,376.0,282.0,267.0,111.0,145.0,289.0,236.0,264.0,44.0,2207.0
BOYACá,Puerto Boyaca,23110040,EL TRIQUE,-74.340000000000003,5.5199999999999996,150,1980,1,1,30.0,21.0,91.0,231.0,178.0,65.0,194.0,235.0,280.3,252.4,329.6,98.8,2006.1
BOYACá,Puerto Boyaca,23110040,EL TRIQUE,-74.340000000000003,5.5199999999999996,150,1981,1,1,180.8,96.8,121.1,351.2,,152.9,73.3,188.6,184.5,261.5,199.5,92.8,2362.8
BOYACA,Puerto Boyaca,23110040,EL TRIQUE,-74.340000000000003,5.5199999999999996,150,1982,1,1,13.5,92.9,175.9,175.3,275.2,23.1,10.5,6.3,,213.1,103.6,182.6,1522.8
BOYACA,Puerto Boyaca,23110040,TRIQUE EL,-74.340000000000003,5.5199999999999996,150,1983,1,1,75.5,22.9,261.1,191.1,281.4,314.9,83.5,59.9,144.6,234.0,196.2,64.8,1929.9
BOYACA,Puerto Boyaca,23110040,EL TRIQUE,-74.340000000000003,5.5199999999999996,150,1984,1,1,8.7,171.3,166.4,106.9,295.3,311.7,170.6,93.8,208.7,236.4,132.7,55.5,1958.0
BOYACA,Puerto Boyaca,23110040,EL TRIQUE,-74.340000000000003,5.5199999999999996,150,1985,1,1,9.8,85.2,275.0,113.9,208.2,156.6,207.9,112.5,245.7,316.4,167.8,54.1,1953.1
BOYACA,Puerto Boyaca,23110040,EL TRIQUE,-74.340000000000003,5.5199999999999996,150,1986,1,1,115.1,97.8,139.6,401.4,284.0,134.5,57.7,109.4,145.0,441.1,,58.8,2099.0
BOYACA,Puerto Boyaca,23110040,EL TRIQUE,-74.340000000000003,5.5199999999999996,150,1987,1,1,44.7,76.3,46.3,196.0,228.0,64.0,241.7,87.8,98.1,228.0,209.5,85.9,1606.3
BOYACA,Puerto Boyaca,23110040,EL TRIQUE,-74.340000000000003,5.5199999999999996,150,1988,1,1,26.1,147.1,18.2,275.7,250.4,170.8,43.4,174.5,235.7,347.4,318.9,130.6,2138.8
BOYACA,Puerto Boyaca,23110040,EL TRIQUE,-74.340000000000003,5.5199999999999996,150,1989,1,1,173.6,146.0,,194.4,321.7,137.5,114.6,258.7,310.8,402.2,262.0,101.0,2567.1
BOYACA,Puerto Boyaca,23110040,EL TRIQUE,-74.340000000000003,5.5199999999999996,150,1990,1,1,290.0,94.0,197.0,357.4,195.0,121.0,214.1,143.0,,384.0,262.0,113.1,2614.6
BOYACA,Puerto Boyaca,23110040,EL TRIQUE,-74.340000000000003,5.5199999999999996,150,1991,1,1,81.6,116.3,155.4,257.8,254.8,148.3,138.3,139.7,232.8,178.0,168.0,31.0,1902.0
BOYACA,Puerto Boyaca,23110040,EL TRIQUE,-74.340000000000003,5.5199999999999996,150,1992,1,1,3.0,168.0,109.0,116.0,195.0,44.0,50.0,257.0,297.0,242.0,263.0,263.0,2007.0
